Word,Low,High,Avg
lares,1,295,100.175397293
rales,1,295,102.106729449
tares,1,314,104.918187169
arles,1,295,105.736315480
soare,1,280,107.609770453
nares,1,309,108.749460467
rates,1,314,108.779281931
ranes,1,309,109.283303904
sater,1,314,110.477339612
reais,1,284,111.515989798
saner,1,309,111.571512655
tales,1,317,112.524622327
reals,1,295,113.957229743
salet,1,317,114.491857956
lears,1,295,114.706494016
aeros,1,291,115.809888170
seria,1,264,116.178536394
laers,1,301,116.458897391
lanes,1,327,117.367471061
raise,1,295,118.340200118
teras,1,314,119.583872866
serai,1,265,119.615852462
tears,1,314,120.171081028
earls,1,308,120.196193840
aloes,1,325,120.198548166
seral,1,295,120.402785953
cares,1,330,120.678830685
lores,1,356,121.452030606
laser,1,298,122.065528742
strae,1,314,122.571120267
reans,1,309,122.617422013
roles,1,356,123.553462821
nears,1,309,123.798705121
sorel,1,356,124.011771630
saine,1,340,124.504806749
taser,1,335,124.660977045
tarse,1,340,124.876790269
stare,1,314,125.027663331
races,1,330,125.750833824
orles,1,356,125.801648028
snare,1,309,125.936825584
nates,1,330,126.132038454
riles,1,340,127.238179321
dares,1,372,127.340396312
soler,1,356,127.534039631
tores,1,404,127.563861095
earns,1,333,128.213066510
slate,1,325,128.875024524
teals,1,381,128.993721797
sared,1,372,129.778497155
leats,1,381,130.661761821
stoae,1,314,130.831665686
mares,1,368,131.005297234
tires,1,407,131.118304885
aures,1,337,131.420639592
ranse,1,358,131.495978026
siler,1,340,131.957425937
hares,1,345,132.165195213
arets,1,342,132.239160290
rotes,1,404,132.467137532
taels,1,448,132.501863841
slier,1,340,132.575828919
sacre,1,330,132.726701982
leans,1,372,132.765940749
tries,1,407,133.049637041
leirs,1,340,134.040219737
aeons,1,324,134.175004905
laris,1,364,134.343143025
slane,1,343,134.393761036
lairs,1,364,134.618206788
arise,1,295,134.629782225
relos,1,356,134.658622719
toles,1,386,134.730037277
neals,1,372,134.760643516
stale,1,325,134.876201687
aesir,1,286,135.122032568
rames,1,368,135.162840887
acres,1,330,135.257602511
arose,1,291,135.457327840
rails,1,364,135.564057289
pares,1,386,135.576613694
rones,1,373,135.793800275
toeas,1,375,136.226603885
dales,1,394,136.663919953
laces,1,366,136.896213459
saice,1,364,136.982342554
taces,1,347,137.507749657
raile,1,357,137.565038258
cates,1,347,137.728075338
siren,1,366,138.111045713
rites,1,407,138.219737100
reast,1,340,138.533058662
gares,1,375,138.569550716
solei,1,334,138.956444968
dears,1,372,139.117912498
taler,1,407,139.179321169
lotes,1,386,139.248381401
taros,1,389,139.293505984
dates,1,372,139.659407495
lades,1,394,139.772218952
stear,1,342,139.786344909
canes,1,367,140.289582107
antes,1,332,140.362958603
rapes,1,386,140.565823033
setal,1,381,141.088287228
sayer,1,307,141.209731214
rines,1,366,141.323327448
rials,1,364,141.382774181
claes,1,366,141.746517559
liars,1,364,142.072984108
resat,1,335,142.124975476
roate,1,358,142.134392780
bares,1,399,142.162252305
raits,1,429,142.309005297
sated,1,372,142.478320581
neats,1,405,142.491857956
orals,1,351,142.657053169
reads,1,372,142.814204434
larns,1,387,143.176966843
serac,1,330,143.347655484
scrae,1,330,143.364135766
rages,1,375,143.372964489
ratos,1,389,143.876594075
stane,1,334,143.914655680
liers,1,340,144.044143614
riels,1,340,144.216794193
acies,1,355,144.312144399
liras,1,364,144.385520895
