opener,wordle,wordle+top3000,wordle+top5000,wordle+top7000,whole
which,3.839355,4.070907,4.290955,4.459432,4.948570
their,3.539744,3.794864,3.979203,4.160274,4.645776
there,3.599778,3.889116,4.087502,4.254242,4.757455
would,3.633130,3.883572,4.072396,4.263938,4.719690
other,3.594775,3.847680,4.039043,4.227863,4.703063
these,3.617009,3.929676,4.132431,4.306146,4.820464
about,3.630906,3.889991,4.083971,4.251675,4.734164
first,3.541412,3.801284,3.999608,4.182090,4.686301
could,3.548082,3.808579,4.003924,4.174390,4.676876
after,3.575320,3.804786,4.022562,4.202481,4.699091
those,3.538077,3.838926,4.038846,4.215600,4.723595
where,3.718733,3.969653,4.168334,4.361044,4.864221
being,3.627571,3.872191,4.043359,4.186653,4.670953
under,3.586993,3.829880,4.025309,4.200200,4.687445
years,3.563091,3.857018,4.075535,4.267788,4.779805
great,3.531962,3.783776,3.975868,4.152859,4.647459
state,3.615898,3.910125,4.124191,4.316412,4.870077
world,3.606448,3.841552,4.016873,4.192927,4.644564
three,3.599778,3.873650,4.077300,4.250107,4.751060
while,3.612563,3.897870,4.060035,4.251390,4.740559
found,3.652585,3.883280,4.076123,4.246400,4.732548
might,3.665370,3.870149,4.024328,4.177813,4.628879
still,3.629794,3.885906,4.081813,4.250962,4.791720
right,3.605892,3.837467,4.007652,4.165550,4.630495
place,3.491940,3.764225,3.939376,4.109511,4.614541
every,3.822679,4.079662,4.280753,4.442892,4.929855
power,3.610339,3.853224,4.022758,4.220590,4.724268
since,3.504725,3.790487,3.997842,4.162983,4.673915
given,3.667037,3.939306,4.110850,4.279196,4.773140
never,3.714286,3.965859,4.151265,4.330529,4.845978
order,3.678710,3.912460,4.111634,4.298446,4.821138
water,3.594219,3.800992,4.018050,4.204763,4.702457
small,3.653141,3.894368,4.101040,4.279624,4.797038
shall,3.645359,3.930260,4.149892,4.341936,4.850488
large,3.525292,3.789612,3.989602,4.165835,4.653450
point,3.546971,3.790487,3.973906,4.117781,4.589970
again,3.724291,3.992121,4.167746,4.333096,4.826456
often,3.607004,3.841261,4.027663,4.206901,4.701649
among,3.627015,3.850890,4.030214,4.191216,4.650623
house,3.600889,3.923840,4.129488,4.313418,4.852036
women,3.643135,3.858477,4.039043,4.212320,4.691552
group,3.610339,3.873359,4.029625,4.194639,4.669606
think,3.634241,3.860228,4.038650,4.191787,4.630024
human,3.640912,3.884155,4.063371,4.216313,4.696331
later,3.501390,3.737963,3.920541,4.109368,4.627465
until,3.540856,3.807995,3.998430,4.177242,4.640458
whole,3.615898,3.901080,4.074750,4.248111,4.741367
early,3.559200,3.843887,4.034138,4.213176,4.704679
means,3.537521,3.767435,3.982931,4.147298,4.688522
above,3.693719,3.989495,4.164803,4.330101,4.818916
value,3.648694,3.919171,4.111634,4.288749,4.805453
study,3.648694,3.913043,4.101236,4.249251,4.723797
table,3.526404,3.760724,3.933686,4.089120,4.600202
taken,3.593107,3.850598,4.034138,4.201055,4.659172
times,3.558088,3.772104,3.970767,4.152574,4.673645
known,3.853808,4.083747,4.294879,4.453586,4.889667
court,3.516954,3.793405,3.988425,4.161557,4.658028
young,3.688716,3.995915,4.154405,4.327535,4.784315
words,3.623680,3.852349,4.047479,4.226294,4.734904
white,3.620345,3.901955,4.095939,4.280764,4.729788
light,3.599778,3.826671,4.008240,4.165977,4.614137
least,3.439689,3.731544,3.935256,4.120776,4.670818
level,3.851584,4.119346,4.329802,4.502923,5.031774
child,3.569205,3.814999,4.010202,4.164552,4.652373
death,3.544747,3.791946,3.988228,4.162555,4.647728
press,3.712062,3.898453,4.092407,4.272494,4.804174
cases,3.689272,3.921214,4.140867,4.308570,4.881925
going,3.748193,4.032390,4.221699,4.401255,4.899764
party,3.561979,3.789028,3.969001,4.147583,4.599260
using,3.647582,3.940765,4.143025,4.318123,4.798452
sense,3.743191,4.005252,4.218560,4.383573,4.971255
based,3.584769,3.833382,4.043947,4.218309,4.723393
whose,3.634797,3.916545,4.142633,4.326822,4.839381
south,3.585881,3.875109,4.061409,4.237559,4.731471
total,3.627571,3.910417,4.108691,4.274633,4.801750
class,3.659255,3.873359,4.080047,4.257522,4.807270
local,3.654252,3.918004,4.116147,4.290461,4.827600
along,3.548638,3.817625,4.002551,4.172964,4.637227
terms,3.529739,3.732419,3.937022,4.104948,4.623023
money,3.625347,3.874526,4.049048,4.217311,4.700505
black,3.622568,3.849139,4.032764,4.193640,4.647593
force,3.565870,3.821126,4.025113,4.216598,4.724403
north,3.536409,3.803618,3.977438,4.135748,4.596230
night,3.622012,3.862562,4.035511,4.186653,4.636284
short,3.521401,3.765392,3.964881,4.138029,4.636688
field,3.594775,3.827254,4.016873,4.200057,4.700774
asked,3.650361,3.932886,4.149696,4.325681,4.803837
quite,3.750417,4.039685,4.236217,4.414516,4.913834
thing,3.595331,3.850306,4.019816,4.177242,4.622753
woman,3.647026,3.866064,4.045909,4.211464,4.716123
major,3.690384,3.925007,4.114577,4.293027,4.792999
third,3.555309,3.777940,3.961742,4.129902,4.624302
shown,3.643135,3.891742,4.094762,4.239698,4.736116
began,3.603669,3.858185,4.035707,4.182233,4.673511
cause,3.542524,3.864313,4.092603,4.249964,4.815348
heart,3.477487,3.752261,3.955856,4.142307,4.643756
seems,3.816009,4.032682,4.234844,4.404534,4.950791
trade,3.483046,3.726875,3.941338,4.119635,4.631841
clear,3.486937,3.778523,3.963312,4.138742,4.663952
model,3.557532,3.780274,3.948990,4.119778,4.591249
lower,3.605892,3.854683,4.039043,4.231000,4.736924
close,3.492496,3.788737,3.991956,4.171396,4.708852
blood,3.712062,3.926174,4.109869,4.268074,4.748637
hands,3.583658,3.822877,4.039239,4.191929,4.693773
story,3.586437,3.834841,4.032176,4.199914,4.684551
forms,3.606448,3.821418,4.035903,4.208898,4.710064
paper,3.699277,3.953312,4.145576,4.343648,4.844901
works,3.676487,3.932886,4.126545,4.315985,4.781555
areas,3.640356,3.930552,4.165784,4.326536,4.891821
parts,3.513619,3.734753,3.924269,4.102666,4.603029
union,3.790995,4.065363,4.265646,4.438757,4.966274
river,3.767093,4.022760,4.225231,4.409953,4.933894
books,3.806003,4.060403,4.264077,4.418794,4.889263
space,3.523624,3.786986,3.977438,4.158563,4.669135
price,3.531962,3.777356,3.958211,4.123485,4.621676
makes,3.651473,3.893493,4.097116,4.258092,4.763985
basis,3.749305,3.976948,4.173828,4.337231,4.863884
alone,3.493052,3.793114,3.994310,4.172822,4.677011
below,3.672596,3.892326,4.069060,4.223157,4.713161
earth,3.522513,3.763933,3.967432,4.146728,4.651027
heard,3.529183,3.793114,3.989994,4.174248,4.690205
lines,3.502501,3.757222,3.985678,4.174818,4.711814
hours,3.604225,3.875401,4.067098,4.245259,4.774621
range,3.549194,3.810913,4.014911,4.165122,4.646180
truth,3.677599,3.943974,4.143222,4.327392,4.821205
board,3.572540,3.802159,3.980969,4.147726,4.629148
needs,3.655920,3.932302,4.135962,4.297875,4.818512
front,3.539188,3.782317,3.963116,4.138457,4.614944
shows,3.812674,4.037642,4.230724,4.411379,4.898620
leave,3.682046,3.976364,4.168923,4.346357,4.887041
cells,3.654808,3.937847,4.138317,4.325253,4.884551
march,3.562535,3.789904,3.973318,4.140453,4.643218
doing,3.605892,3.858185,4.048852,4.213746,4.678694
stage,3.529739,3.817333,4.026682,4.199772,4.705150
today,3.595887,3.885031,4.062390,4.238842,4.701515
labor,3.564758,3.800409,3.987247,4.153429,4.642679
voice,3.639800,3.935220,4.118109,4.283474,4.825783
peace,3.614786,3.896411,4.089661,4.257950,4.775766
