n,avg_guesses,median_guesses,pct_solved_6,fails,max_guesses,g1,g2,g3,g4,g5,g6,g7plus
0,3.975476,4.0,97.0571,150,12,1,172,1542,2257,748,227,150
1,3.975476,4.0,97.0571,150,12,1,172,1542,2257,748,227,150
2,3.975476,4.0,97.0571,150,12,1,172,1542,2257,748,227,150
3,3.980577,4.0,97.0375,151,12,1,172,1539,2242,762,230,151
4,3.993133,4.0,97.0179,152,12,1,172,1533,2208,786,245,152
5,4.003139,4.0,96.9590,155,12,1,172,1532,2174,810,253,155
6,4.015499,4.0,96.8413,161,12,1,172,1529,2138,836,260,161
7,4.024132,4.0,96.7628,165,12,1,172,1527,2114,850,268,165
8,4.032568,4.0,96.7039,168,12,1,172,1519,2096,871,270,168
9,4.044732,4.0,96.5862,174,12,1,172,1516,2066,888,280,174
10,4.055719,4.0,96.4685,180,12,1,172,1515,2039,899,291,180
11,4.069060,4.0,96.3508,186,12,1,172,1511,2010,908,309,186
12,4.077889,4.0,96.3116,188,12,1,172,1504,1996,914,322,188
13,4.083971,4.0,96.2527,191,12,1,172,1501,1990,911,331,191
14,4.087502,4.0,96.2527,191,12,1,172,1496,1984,920,333,191
15,4.092015,4.0,96.2135,193,12,1,172,1492,1978,924,337,193
16,4.094173,4.0,96.1546,196,12,1,172,1491,1974,928,335,196
17,4.098489,4.0,96.1350,197,12,1,172,1489,1964,933,341,197
18,4.104964,4.0,96.0761,200,13,1,172,1488,1952,934,350,200
19,4.107318,4.0,96.0957,199,13,1,172,1486,1947,937,355,199
20,4.108103,4.0,96.0957,199,13,1,172,1486,1943,941,355,199
21,4.110261,4.0,96.1154,198,13,1,172,1483,1942,943,358,198
22,4.111438,4.0,96.0957,199,13,1,172,1480,1944,943,358,199
23,4.114185,4.0,96.0957,199,13,1,172,1473,1945,948,359,199
24,4.114577,4.0,96.0761,200,13,1,172,1474,1942,950,358,200
25,4.119286,4.0,95.9584,206,13,1,172,1474,1938,947,359,206
26,4.121052,4.0,95.8799,210,13,1,172,1475,1935,947,357,210
27,4.121052,4.0,95.8799,210,13,1,172,1475,1935,947,357,210
28,4.126741,4.0,95.8799,210,13,1,172,1465,1932,954,363,210
29,4.130861,4.0,95.8603,211,13,1,172,1457,1932,959,365,211
30,4.132627,4.0,95.8603,211,13,1,172,1449,1939,960,365,211
31,4.134981,4.0,95.8603,211,13,1,172,1443,1941,962,367,211
32,4.137532,4.0,95.8407,212,13,1,172,1439,1940,965,368,212
33,4.139494,4.0,95.8407,212,13,1,172,1435,1939,969,369,212
34,4.140279,4.0,95.8211,213,13,1,172,1436,1937,968,370,213
35,4.142633,4.0,95.8211,213,13,1,172,1430,1938,972,371,213
36,4.143810,4.0,95.8211,213,13,1,172,1428,1937,973,373,213
37,4.146753,4.0,95.7622,216,13,1,172,1423,1938,975,372,216
38,4.146753,4.0,95.7622,216,13,1,172,1423,1938,975,372,216
39,4.149696,4.0,95.7230,218,13,1,172,1420,1937,975,374,218
40,4.149696,4.0,95.7034,219,13,1,172,1420,1935,979,371,219
41,4.149696,4.0,95.7034,219,13,1,172,1420,1935,979,371,219
42,4.149500,4.0,95.7426,217,13,1,172,1420,1932,984,371,217
43,4.149892,4.0,95.7622,216,13,1,172,1420,1932,982,374,216
44,4.149892,4.0,95.7622,216,13,1,172,1420,1932,982,374,216
45,4.150481,4.0,95.7622,216,13,1,172,1419,1931,984,374,216
46,4.150481,4.0,95.7622,216,13,1,172,1419,1931,984,374,216
47,4.150481,4.0,95.7622,216,13,1,172,1419,1931,984,374,216
48,4.149500,4.0,95.8015,214,13,1,172,1419,1933,983,375,214
49,4.150873,4.0,95.7818,215,13,1,172,1419,1930,983,377,215
50,4.156563,4.0,95.7622,216,13,1,172,1410,1928,984,386,216
55,4.159309,4.0,95.7426,217,13,1,172,1401,1934,986,386,217
60,4.159309,4.0,95.7426,217,13,1,172,1397,1942,982,386,217
70,4.170100,4.0,95.6837,220,13,1,172,1382,1937,988,397,220
80,4.178144,4.0,95.6445,222,13,1,172,1368,1937,993,404,222
100,4.193447,4.0,95.5660,226,13,1,172,1345,1930,1003,420,226
125,4.215421,4.0,95.4287,233,13,1,172,1298,1940,1014,439,233
150,4.238572,4.0,95.3698,236,13,1,172,1248,1934,1053,453,236
200,4.243280,4.0,95.4287,233,13,1,172,1239,1923,1073,456,233
300,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
500,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
1000,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
5097,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
