opener,avg_guesses,median_guesses,fails,max_guesses
peart,3.887189,4.0,94,11
clapt,3.895429,4.0,77,11
plant,3.895429,4.0,83,10
smalt,3.896213,4.0,73,11
prate,3.896998,4.0,86,10
trape,3.897587,4.0,87,10
slart,3.898764,4.0,102,11
slant,3.899549,4.0,102,11
palet,3.901903,4.0,92,11
spilt,3.903080,4.0,87,10
split,3.903276,4.0,84,10
slipt,3.903276,4.0,91,10
spalt,3.903473,4.0,88,10
parte,3.904454,4.0,90,10
slate,3.905435,4.0,116,10
leant,3.905631,4.0,110,11
leapt,3.906219,4.0,95,10
plate,3.907200,4.0,91,11
tarns,3.908574,4.0,115,11
larnt,3.908770,4.0,103,11
print,3.909751,4.0,98,10
pelta,3.909947,4.0,93,10
rants,3.910928,4.0,110,11
splat,3.911124,4.0,84,11
spart,3.911517,4.0,78,10
clart,3.911517,4.0,100,12
patel,3.911713,4.0,93,11
tramp,3.911909,4.0,71,10
tronc,3.911909,4.0,101,11
salet,3.912301,4.0,123,10
crate,3.914263,4.0,115,11
teals,3.914263,4.0,130,11
sprit,3.915048,4.0,87,10
spirt,3.915833,4.0,91,10
tepal,3.915833,4.0,92,10
trans,3.915833,4.0,114,11
trace,3.916225,4.0,116,11
clipt,3.916421,4.0,87,11
starn,3.916421,4.0,106,10
dealt,3.916618,4.0,116,11
drant,3.916814,4.0,109,11
repat,3.917010,4.0,89,10
setal,3.917010,4.0,117,10
smart,3.917402,4.0,81,11
sprat,3.917402,4.0,86,10
petal,3.917599,4.0,97,10
trail,3.917991,4.0,117,11
carte,3.918776,4.0,109,12
tripe,3.918972,4.0,93,11
ratel,3.918972,4.0,112,11
clint,3.919168,4.0,102,11
petar,3.919561,4.0,89,11
lepta,3.919561,4.0,92,10
plait,3.919953,4.0,104,11
tromp,3.920149,4.0,70,11
lants,3.920149,4.0,120,11
metal,3.920345,4.0,94,12
later,3.920541,4.0,113,12
taler,3.920738,4.0,116,12
pleat,3.921130,4.0,100,11
traps,3.921522,4.0,95,10
sport,3.921719,4.0,87,10
earnt,3.921915,4.0,116,11
prats,3.922307,4.0,95,10
tapir,3.922700,4.0,94,11
snort,3.922896,4.0,114,10
malts,3.923092,4.0,93,12
tears,3.923092,4.0,135,12
plast,3.923288,4.0,99,10
milts,3.923288,4.0,100,11
tiler,3.923288,4.0,113,12
teras,3.923288,4.0,132,11
plats,3.923484,4.0,99,11
tarps,3.923484,4.0,99,11
tirls,3.924073,4.0,111,12
prent,3.924269,4.0,97,10
parts,3.924269,4.0,100,11
sient,3.924269,4.0,124,10
tails,3.924269,4.0,131,12
terns,3.924465,4.0,120,11
pater,3.924662,4.0,96,11
armet,3.925054,4.0,104,12
caret,3.925054,4.0,120,12
taels,3.925054,4.0,130,11
reast,3.925250,4.0,129,11
liart,3.925250,4.0,133,11
