word,rank
aback,2457
abase,5397
abate,2344
abbey,977
abbot,1186
abhor,2987
abide,1394
about,7
above,50
abyss,1695
acorn,2790
acrid,2804
actor,713
acute,419
adage,2733
adapt,1010
adept,1908
admin,2492
admit,478
adobe,1842
adopt,599
adore,2088
adult,322
affix,2833
afoot,2669
after,10
again,37
agape,3074
agate,2952
agent,284
agile,2438
aging,821
aglow,3736
agony,1134
agree,333
ahead,389
aisle,1558
alarm,775
album,1298
alert,892
alien,781
alike,579
alive,448
allot,3452
allow,199
alloy,1083
aloft,1849
alone,118
along,78
aloof,1718
aloud,971
alley,1354
alpha,874
altar,774
alter,666
amass,3489
amber,1545
amble,4897
amiss,2148
among,39
ample,827
amply,1607
amuse,1778
angel,701
anger,492
angle,350
angry,542
angst,3372
ankle,1321
annex,1456
annoy,2427
anode,1581
antic,4495
anvil,2391
aorta,1495
apart,300
aphid,3109
apple,760
apply,256
apron,1717
aptly,1868
arbor,1348
ardor,2246
argue,535
arise,440
aroma,2094
arrow,798
artsy,6595
ascot,4173
ashen,3434
aside,393
askew,3257
assay,1183
asset,746
atlas,1189
atoll,3150
atone,2672
atria,3338
attic,1496
audio,1005
audit,961
avail,1123
avert,1813
avoid,240
await,1336
award,668
awake,943
aware,285
awash,3517
awful,853
awoke,1501
axiom,1773
azure,2378
bacon,812
badge,1700
badly,687
bagel,4429
baker,747
baler,5870
balmy,3183
balsa,4525
banal,2674
banjo,2946
barge,1788
baron,870
basic,145
basil,1264
basin,644
basis,117
baste,4036
batch,1192
bathe,1992
baton,1827
batty,4538
bawdy,3543
bayou,2775
beach,508
beady,4505
beard,986
beast,922
beaut,5873
beefy,4734
befit,5155
beget,2884
begin,211
begun,398
being,13
belch,4568
belie,3554
belle,1421
belly,1065
below,119
bench,802
beret,3763
berth,2210
beset,1653
bevel,2649
bicep,6382
bilge,3842
binge,2876
biome,4596
birch,1386
birth,260
black,81
blade,891
blame,674
bland,1740
blank,734
blare,4465
blast,1042
blaze,1642
bleak,1621
bleat,5035
bleed,1945
bleep,6680
blend,1155
blimp,5164
blink,2368
bliss,1185
block,323
bloke,3662
blond,1522
bloom,1002
blown,1009
bluff,1518
blunt,1282
blurb,4963
blurt,4729
blush,1730
board,126
boast,1314
bongo,4564
bonus,1252
booby,3376
boost,1549
booty,1991
booze,2919
boozy,6497
borax,2740
borne,662
bossy,3930
bough,2446
boxer,2100
brace,1277
braid,2321
brain,247
brake,1322
brand,712
brash,3230
brass,824
brave,717
bravo,2385
brawn,4197
bread,446
break,278
breed,979
briar,3607
bribe,1933
bride,822
brief,305
brine,2044
bring,139
brink,1655
briny,5103
brisk,1753
broad,283
broke,426
brood,1696
brook,1158
broom,1834
broth,1679
brown,195
brush,754
brute,1492
buddy,1660
budge,2441
buggy,2272
bugle,2729
build,310
built,162
bulge,2233
bulky,1890
bully,2010
bunch,1091
bunny,2480
burly,2679
burnt,917
buyer,795
bylaw,4329
cable,642
cacao,2703
cache,1497
cacti,3536
cadet,2205
camel,1490
cameo,3407
candy,1284
canny,3448
canoe,1177
canon,884
caper,3891
carat,3997
cargo,863
carol,1114
carom,7504
carry,216
carve,2227
catch,503
cater,2181
catty,5050
caulk,5302
cause,95
cease,741
cedar,1337
cello,2432
chafe,3628
chain,380
chair,366
chalk,1273
champ,2643
chant,1623
chaos,895
chard,3808
charm,826
chart,566
chase,829
chasm,2107
cheap,724
cheat,1816
check,276
cheek,899
cheer,1333
chest,486
chide,4076
chief,140
child,64
chili,2051
chill,1292
chime,3249
chirp,3722
chock,4256
choir,1142
choke,2028
chord,1300
chore,2693
chose,567
chuck,1648
chump,5684
chunk,2239
chute,2436
cider,2172
cigar,1452
cinch,4330
circa,1747
civic,867
civil,161
clamp,1780
clang,3336
clash,1355
clasp,2202
class,76
clean,383
clear,99
cleft,1548
clerk,613
click,496
cliff,1043
climb,893
cling,1600
clink,3896
cloak,1238
clock,681
clone,2089
close,102
cloth,479
cloud,622
clove,2631
clown,1903
cluck,4926
clump,2266
clung,1413
coach,801
coast,274
cocoa,1494
colic,2290
colon,1080
comet,1618
comfy,5029
comma,1858
conch,3003
condo,3378
conic,3069
coral,1180
corer,6371
corny,3991
couch,1145
could,9
count,329
court,57
coven,4523
cover,238
covet,3073
cower,4688
coyly,4571
craft,725
cramp,2823
crane,1182
crank,1729
crass,3268
crate,2587
crave,2421
crawl,1676
craze,2645
crazy,862
creak,3334
cream,678
credo,2579
creed,994
crepe,3134
crept,1368
crest,1070
crime,315
crimp,4108
crisp,1534
croak,4039
crock,4014
crone,3611
crook,1917
cross,156
crowd,480
crown,334
cruel,753
crumb,3118
crush,1359
crust,1122
crypt,2483
cubic,934
cubit,4109
cumin,3475
curio,3936
curly,1861
curse,1023
curve,349
cyber,3104
cycle,347
cynic,2954
daddy,1090
daisy,1659
dally,3603
dance,424
dandy,2422
datum,1966
daunt,4550
death,65
debit,1832
debug,2690
debut,1919
decal,5680
decay,733
decor,2240
decoy,3166
decry,3747
defer,1916
deity,964
delay,472
delta,872
delve,3027
denim,3310
dense,787
depot,1438
depth,343
deter,1622
detox,5458
deuce,3359
devil,612
diary,723
dicey,3512
digit,1345
diner,2659
dingo,4775
dingy,2478
dirge,3480
disco,2808
ditto,1553
ditty,4015
divot,7308
dizzy,1959
dodge,1487
dodgy,6298
dogma,1426
doing,133
dolly,1972
donor,999
donut,4557
dopey,5672
doubt,166
dough,1483
dowdy,4453
dowel,3373
dowry,1914
dozen,573
draft,572
drain,921
drama,524
drape,3353
drawn,224
dread,1028
dream,354
drift,875
drill,957
drink,396
drive,292
droll,3211
drone,2755
drool,5062
droop,3092
drove,569
drunk,856
dryer,2345
duchy,1954
dummy,1652
dusky,2083
dusty,1405
dutch,466
duvet,5567
dwarf,1467
dwell,992
dwelt,1367
eager,698
eagle,937
early,48
earth,120
easel,2797
eaten,837
ebony,2370
edict,1568
edify,4544
eerie,2339
egret,4418
eight,179
eject,3144
elate,5545
elbow,1048
elder,736
elfin,4401
elite,738
elope,4809
elude,2493
email,1414
embed,3276
ember,3801
empty,415
enact,1706
endow,2602
enema,2767
enjoy,412
ennui,3187
ensue,1939
enter,235
envoy,1689
epoch,1081
epoxy,2153
equal,144
equip,1995
erase,1902
erode,2660
error,263
erupt,2953
essay,493
ether,1026
ethic,1427
ethos,1701
etude,2437
evade,1803
event,212
every,26
evoke,1609
exact,442
exalt,2423
excel,1255
exert,1016
exile,843
exist,242
expel,1950
extol,3404
extra,400
exult,3917
fable,1591
facet,1769
faint,825
faith,158
false,307
fancy,661
farce,1828
fault,494
favor,403
feast,838
feign,3462
feral,3331
ferry,1096
fetch,1323
fetid,3328
fever,519
fewer,593
